Order_ID,Order_Date,Product_Name,Category,Sub_Category,Price,Quantity,Discount,Revenue,Customer_Rating,City,State,Payment_Method,Delivery_Time_Min,Customer_Type,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Discount_Amount,Gross_Amount,Is_Weekend
BLK100031,2023-09-02,Heinz Strained Carrots (110g),Baby Care,Baby Food,317.76,3,0.24,688.27,4.0,Chennai,Tamil Nadu,Credit Card,8,Premium,2023,9,Sep,Q3,Saturday,35,228.79,953.28,Weekend
BLK100032,2024-07-30,Amul Cheese Slices (200g),Dairy & Breakfast,Butter & Cheese,146.24,1,0.03,124.83,4.0,Delhi,Delhi,Cash On Delivery,10,New,2024,7,Jul,Q3,Tuesday,31,4.39,146.24,Weekday
BLK100033,2024-01-14,Hide & Seek (150g),Snacks & Munchies,Cookies & Biscuits,87.39,1,0.15,55.71,4.0,Chennai,Tamil Nadu,Credit Card,28,Regular,2024,1,Jan,Q1,Sunday,2,13.11,87.39,Weekend
BLK100034,2024-11-14,Amul Vanilla Tub (1L),Frozen Foods,Ice Cream,473.13,1,0.01,562.08,5.0,Gurugram,Haryana,Debit Card,18,New,2024,11,Nov,Q4,Thursday,46,4.73,473.13,Weekday
BLK100035,2023-06-09,Oral-B Toothbrush Medium,Personal Care,Oral Care,187.87,3,0.06,450.32,3.0,Chennai,Tamil Nadu,Credit Card,16,New,2023,6,Jun,Q2,Friday,23,33.82,563.61,Weekday
BLK100036,2023-09-15,Pomegranate (500g),Fruits & Vegetables,Fresh Fruits,102.93,1,0.03,94.85,5.0,Indore,Madhya Pradesh,Debit Card,19,New,2023,9,Sep,Q3,Friday,37,3.09,102.93,Weekday
BLK100037,2023-09-26,Omega-3 Eggs (6pcs),Meat & Seafood,Eggs,80.48,3,0.0,208.72,5.0,Bengaluru,Karnataka,Blinkit Wallet,30,New,2023,9,Sep,Q3,Tuesday,39,0.0,241.44,Weekday
BLK100038,2024-07-12,Cling Film Roll,Household,Kitchen Essentials,47.77,3,0.03,122.33,2.0,Mumbai,Maharashtra,Cash On Delivery,9,New,2024,7,Jul,Q3,Friday,28,4.3,143.31,Weekday
BLK100039,2023-08-04,Sprite 500ml,Beverages,Cold Drinks,82.41,1,0.13,65.96,3.0,Surat,Gujarat,Debit Card,34,Premium,2023,8,Aug,Q3,Friday,31,10.71,82.41,Weekday
BLK100040,2023-08-31,Haldirams Aloo Bhujia (150g),Snacks & Munchies,Chips & Crisps,13.47,4,0.05,47.09,4.0,Gurugram,Haryana,Credit Card,44,Regular,2023,8,Aug,Q3,Thursday,35,2.69,53.88,Weekday
BLK100041,2024-11-16,Aquafina 1L,Beverages,Water & Soda,66.18,1,0.09,72.27,2.0,Gurugram,Haryana,Credit Card,42,New,2024,11,Nov,Q4,Saturday,46,5.96,66.18,Weekend
BLK100042,2023-07-24,Surmai Fish (500g),Meat & Seafood,Fish & Seafood,396.16,1,0.09,317.24,4.0,Gurugram,Haryana,Upi,36,Premium,2023,7,Jul,Q3,Monday,30,35.65,396.16,Weekday
BLK100043,2023-12-03,Farm Eggs (6pcs),Dairy & Breakfast,Bread & Eggs,71.32,3,0.15,209.15,4.0,Chennai,Tamil Nadu,Upi,25,Regular,2023,12,Dec,Q4,Sunday,48,32.09,213.96,Weekend
BLK100044,2023-01-29,Vaseline Intensive Care (400ml),Personal Care,Skin Care,580.52,4,0.01,1724.14,4.0,Delhi,Delhi,Upi,21,New,2023,1,Jan,Q1,Sunday,4,23.22,2322.08,Weekend
BLK100045,2023-11-18,Fortune Sunflower Oil (1L),Staples,Oils & Ghee,331.12,1,0.04,381.45,5.0,Pune,Maharashtra,Credit Card,37,Regular,2023,11,Nov,Q4,Saturday,46,13.24,331.12,Weekend
BLK100046,2024-06-16,Godrej Real Good Meal,Frozen Foods,Frozen Meals,152.84,3,0.07,362.46,4.0,Indore,Madhya Pradesh,Debit Card,25,New,2024,6,Jun,Q2,Sunday,24,32.1,458.52,Weekend
BLK100047,2024-11-10,Britannia Cheese Spread,Dairy & Breakfast,Butter & Cheese,146.5,3,0.05,501.03,4.0,Gurugram,Haryana,Upi,37,Regular,2024,11,Nov,Q4,Sunday,45,21.98,439.5,Weekend
BLK100048,2023-05-11,WaterWipes Baby Wipes (60pcs),Baby Care,Baby Hygiene,290.29,2,0.17,433.69,4.0,Hyderabad,Telangana,Credit Card,17,Premium,2023,5,May,Q2,Thursday,19,98.7,580.58,Weekday
BLK100049,2023-01-01,Neutrogena Sunscreen SPF50,Personal Care,Skin Care,488.59,1,0.05,348.12,4.0,Chennai,Tamil Nadu,Credit Card,22,Regular,2023,1,Jan,Q1,Sunday,52,24.43,488.59,Weekend
BLK100050,2023-08-07,Farm Fresh Eggs (12pcs),Meat & Seafood,Eggs,89.3,1,0.07,76.41,4.0,Jaipur,Rajasthan,Upi,34,New,2023,8,Aug,Q3,Monday,32,6.25,89.3,Weekday
BLK100051,2023-08-29,Dove Soap (100g),Personal Care,Skin Care,156.62,1,0.1,129.68,4.0,Surat,Gujarat,Cash On Delivery,34,New,2023,8,Aug,Q3,Tuesday,35,15.66,156.62,Weekday
BLK100052,2023-03-16,Chicco Baby Oil (200ml),Baby Care,Baby Hygiene,126.11,4,0.07,375.3,3.0,Ahmedabad,Gujarat,Upi,22,Regular,2023,3,Mar,Q1,Thursday,11,35.31,504.44,Weekday
BLK100053,2024-12-05,Harvest Gold White Bread,Dairy & Breakfast,Bread & Eggs,34.07,2,0.15,66.61,5.0,Mumbai,Maharashtra,Credit Card,9,Premium,2024,12,Dec,Q4,Thursday,49,10.22,68.14,Weekday
BLK100054,2023-05-05,Hide & Seek (150g),Snacks & Munchies,Cookies & Biscuits,118.67,1,0.14,91.85,2.0,Ahmedabad,Gujarat,Credit Card,43,Regular,2023,5,May,Q2,Friday,18,16.61,118.67,Weekday
BLK100055,2024-05-31,Kwality Walls Mango Bar (2pcs),Frozen Foods,Ice Cream,387.21,1,0.04,334.55,3.0,Pune,Maharashtra,Cash On Delivery,22,Regular,2024,5,May,Q2,Friday,22,15.49,387.21,Weekday
BLK100056,2023-10-11,Kwality Walls Mango Bar (2pcs),Frozen Foods,Ice Cream,180.82,4,0.03,771.74,5.0,Noida,Uttar Pradesh,Upi,23,New,2023,10,Oct,Q4,Wednesday,41,21.7,723.28,Weekday
BLK100057,2024-07-07,Doritos Nacho Cheese (45g),Snacks & Munchies,Chips & Crisps,63.62,2,0.02,109.73,5.0,Delhi,Delhi,Credit Card,21,New,2024,7,Jul,Q3,Sunday,27,2.54,127.24,Weekend
BLK100058,2024-07-09,Farex Baby Cereal (300g),Baby Care,Baby Food,513.1,3,0.12,1192.03,3.0,Ahmedabad,Gujarat,Debit Card,45,Regular,2024,7,Jul,Q3,Tuesday,28,184.72,1539.3,Weekday
BLK100059,2024-08-12,Chicken Keema (500g),Meat & Seafood,Chicken,188.68,4,0.13,604.08,4.0,Pune,Maharashtra,Credit Card,41,Regular,2024,8,Aug,Q3,Monday,33,98.11,754.72,Weekday
BLK100060,2024-07-13,Moong Dal (500g),Staples,Rice & Dal,126.8,3,0.0,334.75,5.0,Noida,Uttar Pradesh,Debit Card,25,Regular,2024,7,Jul,Q3,Saturday,28,0.0,380.4,Weekend
BLK100061,2024-02-19,Parle-G (250g),Snacks & Munchies,Cookies & Biscuits,117.88,1,0.14,70.96,3.0,Chandigarh,Punjab,Credit Card,33,Regular,2024,2,Feb,Q1,Monday,8,16.5,117.88,Weekday
BLK100062,2023-01-28,Horlicks Junior (200g),Baby Care,Baby Food,174.5,1,0.03,126.95,4.0,Delhi,Delhi,Upi,22,New,2023,1,Jan,Q1,Saturday,4,5.24,174.5,Weekend
BLK100063,2024-01-24,Pampers S Diapers (20pcs),Baby Care,Diapers,408.67,3,0.01,910.31,5.0,Chennai,Tamil Nadu,Upi,19,Regular,2024,1,Jan,Q1,Wednesday,4,12.26,1226.01,Weekday
BLK100064,2023-03-12,Apples (1kg),Fruits & Vegetables,Fresh Fruits,39.94,1,0.02,31.31,4.0,Noida,Uttar Pradesh,Credit Card,19,New,2023,3,Mar,Q1,Sunday,10,0.8,39.94,Weekend
BLK100065,2023-04-28,Red Label Tea (500g),Beverages,Tea & Coffee,277.74,2,0.06,443.83,3.0,Lucknow,Uttar Pradesh,Debit Card,38,New,2023,4,Apr,Q2,Friday,17,33.33,555.48,Weekday
BLK100066,2023-06-17,Amul Butter (100g),Dairy & Breakfast,Butter & Cheese,235.07,1,0.14,171.84,4.0,Chennai,Tamil Nadu,Upi,20,Regular,2023,6,Jun,Q2,Saturday,24,32.91,235.07,Weekend
BLK100067,2023-07-23,Saffola Gold (1L),Staples,Oils & Ghee,161.14,5,0.13,616.84,4.0,Delhi,Delhi,Cash On Delivery,27,Regular,2023,7,Jul,Q3,Sunday,29,104.74,805.7,Weekend
BLK100068,2024-08-02,Capsicum (500g),Fruits & Vegetables,Fresh Vegetables,42.84,2,0.08,72.52,5.0,Noida,Uttar Pradesh,Upi,25,Regular,2024,8,Aug,Q3,Friday,31,6.85,85.68,Weekday
BLK100069,2024-03-06,Chicken Wings (500g),Meat & Seafood,Chicken,340.98,1,0.12,240.05,5.0,Gurugram,Haryana,Upi,37,Regular,2024,3,Mar,Q1,Wednesday,10,40.92,340.98,Weekday
BLK100070,2023-06-30,MTR Frozen Upma (200g),Frozen Foods,Frozen Meals,203.18,5,0.2,690.81,4.0,Chandigarh,Punjab,Credit Card,29,Premium,2023,6,Jun,Q2,Friday,26,203.18,1015.9,Weekday
BLK100071,2024-08-29,Vim Dishwash Liquid (750ml),Household,Cleaning Supplies,98.57,2,0.11,161.42,4.0,Chennai,Tamil Nadu,Debit Card,26,Regular,2024,8,Aug,Q3,Thursday,35,21.69,197.14,Weekday
BLK100072,2024-01-24,Potatoes (1kg),Fruits & Vegetables,Fresh Vegetables,26.82,1,0.08,18.51,2.0,Kolkata,West Bengal,Upi,18,New,2024,1,Jan,Q1,Wednesday,4,2.15,26.82,Weekday
BLK100073,2024-09-02,Colgate MaxFresh (150g),Personal Care,Oral Care,143.66,2,0.02,267.49,4.0,Chandigarh,Punjab,Credit Card,28,New,2024,9,Sep,Q3,Monday,36,5.75,287.32,Weekday
BLK100074,2023-09-04,Omega-3 Eggs (6pcs),Meat & Seafood,Eggs,70.34,1,0.03,64.82,4.0,Chandigarh,Punjab,Debit Card,27,New,2023,9,Sep,Q3,Monday,36,2.11,70.34,Weekday
BLK100075,2023-11-10,Maida (1kg),Staples,Atta & Flour,275.85,4,0.15,1125.47,4.0,Surat,Gujarat,Upi,32,Regular,2023,11,Nov,Q4,Friday,45,165.51,1103.4,Weekday
BLK100076,2024-12-20,Dove Shampoo (650ml),Personal Care,Hair Care,149.91,1,0.05,163.78,4.0,Ahmedabad,Gujarat,Credit Card,38,Regular,2024,12,Dec,Q4,Friday,51,7.5,149.91,Weekday
BLK100077,2024-12-07,B Natural Mixed Fruit (1L),Beverages,Juices,71.47,6,0.11,438.9,3.0,Bengaluru,Karnataka,Upi,27,Regular,2024,12,Dec,Q4,Saturday,49,47.17,428.82,Weekend
BLK100078,2023-04-13,Aquafina 1L,Beverages,Water & Soda,38.46,2,0.11,58.19,5.0,Gurugram,Haryana,Upi,19,Regular,2023,4,Apr,Q2,Thursday,15,8.46,76.92,Weekday
BLK100079,2023-02-25,Oral-B Toothbrush Medium,Personal Care,Oral Care,170.33,1,0.0,116.85,5.0,Jaipur,Rajasthan,Credit Card,15,Regular,2023,2,Feb,Q1,Saturday,8,0.0,170.33,Weekend
BLK100080,2024-04-25,Prawns Medium (250g),Meat & Seafood,Fish & Seafood,439.65,1,0.09,340.07,4.0,Ahmedabad,Gujarat,Cash On Delivery,18,New,2024,4,Apr,Q2,Thursday,17,39.57,439.65,Weekday
BLK100081,2024-02-15,Amul Butter (100g),Dairy & Breakfast,Butter & Cheese,71.86,2,0.24,76.46,4.0,Ahmedabad,Gujarat,Blinkit Wallet,17,Premium,2024,2,Feb,Q1,Thursday,7,34.49,143.72,Weekday
BLK100082,2023-05-02,Chicco Baby Oil (200ml),Baby Care,Baby Hygiene,328.85,1,0.05,281.17,5.0,Jaipur,Rajasthan,Blinkit Wallet,29,New,2023,5,May,Q2,Tuesday,18,16.44,328.85,Weekday
BLK100083,2023-11-01,Besan Flour (500g),Staples,Atta & Flour,281.77,1,0.1,304.31,3.0,Gurugram,Haryana,Blinkit Wallet,18,New,2023,11,Nov,Q4,Wednesday,44,28.18,281.77,Weekday
BLK100084,2023-08-01,Bisleri Water (1L),Beverages,Water & Soda,25.21,1,0.01,22.96,4.0,Surat,Gujarat,Credit Card,15,New,2023,8,Aug,Q3,Tuesday,31,0.25,25.21,Weekday
BLK100085,2024-12-06,Rohu Fish (500g),Meat & Seafood,Fish & Seafood,219.44,2,0.11,449.19,1.0,Lucknow,Uttar Pradesh,Upi,31,Regular,2024,12,Dec,Q4,Friday,49,48.28,438.88,Weekday
BLK100086,2023-08-28,Colgate Total (150g),Personal Care,Oral Care,175.46,2,0.14,277.65,3.0,Indore,Madhya Pradesh,Upi,32,Premium,2023,8,Aug,Q3,Monday,35,49.13,350.92,Weekday
BLK100087,2023-06-02,Nivea Body Lotion (200ml),Personal Care,Skin Care,111.01,2,0.09,171.73,3.0,Indore,Madhya Pradesh,Credit Card,41,Regular,2023,6,Jun,Q2,Friday,22,19.98,222.02,Weekday
BLK100088,2023-10-23,Farm Eggs (6pcs),Dairy & Breakfast,Bread & Eggs,75.98,3,0.15,213.12,4.0,Ahmedabad,Gujarat,Credit Card,30,Premium,2023,10,Oct,Q4,Monday,43,34.19,227.94,Weekday
BLK100089,2024-09-04,Sebamed Baby Lotion (200ml),Baby Care,Baby Hygiene,265.26,5,0.02,1234.79,3.0,Mumbai,Maharashtra,Cash On Delivery,29,New,2024,9,Sep,Q3,Wednesday,36,26.53,1326.3,Weekday
BLK100090,2024-08-12,Broccoli (500g),Fruits & Vegetables,Exotic Produce,235.59,1,0.03,210.24,3.0,Lucknow,Uttar Pradesh,Debit Card,31,Regular,2024,8,Aug,Q3,Monday,33,7.07,235.59,Weekday
BLK100091,2023-10-12,Maida (1kg),Staples,Atta & Flour,437.93,4,0.06,1811.28,5.0,Bengaluru,Karnataka,Debit Card,18,Regular,2023,10,Oct,Q4,Thursday,41,105.1,1751.72,Weekday
BLK100092,2023-06-14,WaterWipes Baby Wipes (60pcs),Baby Care,Baby Hygiene,157.99,1,0.21,106.09,5.0,Kolkata,West Bengal,Upi,25,Premium,2023,6,Jun,Q2,Wednesday,24,33.18,157.99,Weekday
BLK100093,2023-04-01,Head & Shoulders Shampoo (340ml),Personal Care,Hair Care,438.37,3,0.08,1028.42,4.0,Kolkata,West Bengal,Debit Card,8,Regular,2023,4,Apr,Q2,Saturday,13,105.21,1315.11,Weekend
BLK100094,2024-07-09,Farex Baby Cereal (300g),Baby Care,Baby Food,349.59,2,0.07,572.21,3.0,Ahmedabad,Gujarat,Debit Card,29,Regular,2024,7,Jul,Q3,Tuesday,28,48.94,699.18,Weekday
BLK100095,2023-07-28,Godrej Yummiez Nuggets (250g),Frozen Foods,Frozen Snacks,176.39,1,0.02,152.12,4.0,Chennai,Tamil Nadu,Debit Card,28,Regular,2023,7,Jul,Q3,Friday,30,3.53,176.39,Weekday
BLK100096,2023-09-03,Hide & Seek (150g),Snacks & Munchies,Cookies & Biscuits,11.5,4,0.03,42.39,4.0,Chandigarh,Punjab,Blinkit Wallet,41,Regular,2023,9,Sep,Q3,Sunday,35,1.38,46.0,Weekend
BLK100097,2024-04-17,Good Day Cashew (150g),Snacks & Munchies,Cookies & Biscuits,65.98,1,0.08,51.6,4.0,Delhi,Delhi,Upi,23,New,2024,4,Apr,Q2,Wednesday,16,5.28,65.98,Weekday
BLK100098,2024-07-18,Nan Pro Infant Formula,Baby Care,Baby Food,344.29,3,0.22,708.96,5.0,Bengaluru,Karnataka,Debit Card,16,Premium,2024,7,Jul,Q3,Thursday,29,227.23,1032.87,Weekday
BLK100099,2024-02-29,Amul Vanilla Tub (1L),Frozen Foods,Ice Cream,184.45,4,0.06,485.47,5.0,Kolkata,West Bengal,Credit Card,29,New,2024,2,Feb,Q1,Thursday,9,44.27,737.8,Weekday
BLK100100,2023-06-02,Baskin Robbins Choco (500ml),Frozen Foods,Ice Cream,206.27,2,0.06,329.62,2.0,Ahmedabad,Gujarat,Upi,44,Regular,2023,6,Jun,Q2,Friday,22,24.75,412.54,Weekday
BLK100101,2023-07-13,Nescafe Classic (50g),Beverages,Tea & Coffee,305.36,1,0.05,255.28,5.0,Chandigarh,Punjab,Debit Card,30,Regular,2023,7,Jul,Q3,Thursday,28,15.27,305.36,Weekday
BLK100102,2024-01-26,Oreo Original (120g),Snacks & Munchies,Cookies & Biscuits,23.89,2,0.12,31.53,1.0,Pune,Maharashtra,Cash On Delivery,18,Premium,2024,1,Jan,Q1,Friday,4,5.73,47.78,Weekday
BLK100103,2024-03-26,Amul Vanilla Tub (1L),Frozen Foods,Ice Cream,377.88,1,0.1,272.07,5.0,Delhi,Delhi,Upi,12,Regular,2024,3,Mar,Q1,Tuesday,13,37.79,377.88,Weekday
BLK100104,2023-09-29,Patanjali Cow Ghee (500ml),Staples,Oils & Ghee,489.9,1,0.0,363.02,3.0,Kolkata,West Bengal,Upi,25,Premium,2023,9,Sep,Q3,Friday,39,0.0,489.9,Weekday
BLK100105,2023-11-21,Farm Fresh Eggs (6pcs),Meat & Seafood,Eggs,85.57,2,0.07,190.99,5.0,Surat,Gujarat,Blinkit Wallet,24,New,2023,11,Nov,Q4,Tuesday,47,11.98,171.14,Weekday
BLK100106,2023-04-03,Amul Butter (100g),Dairy & Breakfast,Butter & Cheese,133.17,2,0.14,194.69,3.0,Pune,Maharashtra,Upi,16,Regular,2023,4,Apr,Q2,Monday,14,37.29,266.34,Weekday
BLK100107,2023-02-27,Tide Plus (1.5kg),Household,Laundry,133.86,3,0.08,258.62,3.0,Chennai,Tamil Nadu,Upi,13,Regular,2023,2,Feb,Q1,Monday,9,32.13,401.58,Weekday
BLK100108,2023-03-22,Himalaya Baby Soap,Baby Care,Baby Hygiene,229.21,1,0.03,177.87,5.0,Lucknow,Uttar Pradesh,Upi,35,Regular,2023,3,Mar,Q1,Wednesday,12,6.88,229.21,Weekday
BLK100109,2023-09-19,Potatoes (1kg),Fruits & Vegetables,Fresh Vegetables,59.04,2,0.04,107.69,5.0,Surat,Gujarat,Blinkit Wallet,26,New,2023,9,Sep,Q3,Tuesday,38,4.72,118.08,Weekday
BLK100110,2023-11-03,Sebamed Baby Lotion (200ml),Baby Care,Baby Hygiene,215.32,2,0.15,439.25,4.0,Surat,Gujarat,Credit Card,42,Regular,2023,11,Nov,Q4,Friday,44,64.6,430.64,Weekday
BLK100111,2023-08-31,Sooji Rawa (500g),Staples,Atta & Flour,175.39,1,0.0,161.36,4.0,Pune,Maharashtra,Debit Card,41,Regular,2023,8,Aug,Q3,Thursday,35,0.0,175.39,Weekday
BLK100112,2023-10-09,Fortune Sunflower Oil (1L),Staples,Oils & Ghee,646.37,1,0.12,625.69,3.0,Mumbai,Maharashtra,Debit Card,19,Regular,2023,10,Oct,Q4,Monday,41,77.56,646.37,Weekday
BLK100113,2023-08-24,Harpic Toilet Cleaner (500ml),Household,Cleaning Supplies,170.39,5,0.11,697.58,4.0,Lucknow,Uttar Pradesh,Debit Card,36,Regular,2023,8,Aug,Q3,Thursday,34,93.71,851.95,Weekday
BLK100114,2023-05-21,Amul Butter (100g),Dairy & Breakfast,Butter & Cheese,104.88,4,0.09,343.59,4.0,Surat,Gujarat,Upi,38,Regular,2023,5,May,Q2,Sunday,20,37.76,419.52,Weekend
BLK100115,2023-10-30,Farex Baby Cereal (300g),Baby Care,Baby Food,148.72,3,0.15,417.16,4.0,Kolkata,West Bengal,Credit Card,19,Regular,2023,10,Oct,Q4,Monday,44,66.92,446.16,Weekday
BLK100116,2023-10-07,Marie Gold (250g),Snacks & Munchies,Cookies & Biscuits,116.41,2,0.09,233.05,4.0,Gurugram,Haryana,Upi,40,New,2023,10,Oct,Q4,Saturday,40,20.95,232.82,Weekend
BLK100117,2023-03-19,Green Tea (25 bags),Beverages,Tea & Coffee,153.39,1,0.0,122.71,5.0,Bengaluru,Karnataka,Upi,25,Regular,2023,3,Mar,Q1,Sunday,11,0.0,153.39,Weekend
